Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,Image Position,Image Alt Text
caught-you-looking-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Mid%20Rise%20Bikini/hf_20260731_085434_163bd672-b853-4d58-a6b1-87b0e07d4447.webp,2,Caught You Looking Mid Rise Bikini - view 2
caught-you-looking-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Mid%20Rise%20Bikini/hf_20260731_094022_00a4f3c0-0ec1-410f-9479-67577ee13bed.webp,3,Caught You Looking Mid Rise Bikini - view 3
caught-you-looking-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Mid%20Rise%20Bikini/hf_20260731_095154_7e024d18-69cf-43e3-8472-4b1fe626f0d3.webp,4,Caught You Looking Mid Rise Bikini - view 4
the-tease-scoop-bralette,The Tease Scoop Bralette,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,bras,"Shararat,bras",TRUE,Size,XS,Color,Signature,THE-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Scoop%20Bralette/hf_20260721_082351_97fa3692-7c25-4f9c-a906-1d2994edfb12_min.webp,1,The Tease Scoop Bralette - Signature
the-tease-scoop-bralette,,,,,,,Size,S,Color,Signature,THE-001-SIG-S,3500,10,,,
the-tease-scoop-bralette,,,,,,,Size,M,Color,Signature,THE-001-SIG-M,3500,10,,,
the-tease-scoop-bralette,,,,,,,Size,L,Color,Signature,THE-001-SIG-L,3500,10,,,
the-tease-scoop-bralette,,,,,,,Size,XL,Color,Signature,THE-001-SIG-XL,3500,10,,,
the-tease-scoop-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Scoop%20Bralette/hf_20260730_114451_f430ca9d-9744-491f-93d4-6de65235dc46.webp,2,The Tease Scoop Bralette - view 2
the-tease-scoop-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Scoop%20Bralette/hf_20260730_114848_693e8863-7168-4eed-b571-e282e9c534dc.webp,3,The Tease Scoop Bralette - view 3
the-tease-scoop-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Scoop%20Bralette/hf_20260730_115039_7979e734-df84-496b-865b-d41c84a8ac49.webp,4,The Tease Scoop Bralette - view 4
the-tease-mid-rise-brief,The Tease Mid Rise Brief,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,panties,"Shararat,panties",TRUE,Size,XS,Color,Signature,THE-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Mid%20Rise%20Brief/hf_20260721_082351_97fa3692-7c25-4f9c-a906-1d2994edfb12_min.webp,1,The Tease Mid Rise Brief - Signature
the-tease-mid-rise-brief,,,,,,,Size,S,Color,Signature,THE-001-SIG-S,3500,10,,,
the-tease-mid-rise-brief,,,,,,,Size,M,Color,Signature,THE-001-SIG-M,3500,10,,,
the-tease-mid-rise-brief,,,,,,,Size,L,Color,Signature,THE-001-SIG-L,3500,10,,,
the-tease-mid-rise-brief,,,,,,,Size,XL,Color,Signature,THE-001-SIG-XL,3500,10,,,
the-tease-mid-rise-brief,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Mid%20Rise%20Brief/hf_20260730_114451_f430ca9d-9744-491f-93d4-6de65235dc46.webp,2,The Tease Mid Rise Brief - view 2
the-tease-mid-rise-brief,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Mid%20Rise%20Brief/hf_20260730_114848_693e8863-7168-4eed-b571-e282e9c534dc.webp,3,The Tease Mid Rise Brief - view 3
the-tease-mid-rise-brief,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/The%20Tease%20Mid%20Rise%20Brief/hf_20260730_115039_7979e734-df84-496b-865b-d41c84a8ac49.webp,4,The Tease Mid Rise Brief - view 4
full-circle-molded-bra,Full Circle Molded Bra,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,bras,"Shararat,bras",TRUE,Size,XS,Color,Signature,FUL-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Playful/Full%20Circle%20Molded%20Bra/hf_20260720_044148_4b34aa54-498c-4e4d-8390-1e8efef459b9.webp,1,Full Circle Molded Bra - Signature
full-circle-molded-bra,,,,,,,Size,S,Color,Signature,FUL-001-SIG-S,3500,10,,,
full-circle-molded-bra,,,,,,,Size,M,Color,Signature,FUL-001-SIG-M,3500,10,,,
